TaskID,OriginalRegion,NewRegion,OriginalStartHour,NewStartHour,EstimatedEnergySaving_CNY,Scenario,Iteration
34112,RegionD,RegionD,473.0,469.0,16136.522752000035,最低碳排放端点_联合协调,2
6202,RegionD,RegionF,2160.0,2160.0,16132.256358400118,最低碳排放端点_联合协调,2
5167,RegionD,RegionF,24.0,24.0,16129.613824,最低碳排放端点_联合协调,2
41306,RegionD,RegionD,209.0,202.0,16098.802858666631,最低碳排放端点_联合协调,2
1,RegionD,RegionD,456.0,459.0,16087.814144,最低碳排放端点_联合协调,2
30586,RegionD,RegionF,862.0,862.0,16077.346133333474,最低碳排放端点_联合协调,2
3267,RegionD,RegionD,1222.0,1227.0,16040.54876159988,最低碳排放端点_联合协调,2
26451,RegionD,RegionE,1484.0,1476.0,16030.132804266896,最低碳排放端点_联合协调,2
47983,RegionD,RegionC,1484.0,1476.0,16020.086613333646,最低碳排放端点_联合协调,2
40712,RegionE,RegionF,2111.0,2111.0,16019.460799999211,最低碳排放端点_联合协调,2
8672,RegionD,RegionD,571.0,579.0,16013.839564800172,最低碳排放端点_联合协调,2
38392,RegionD,RegionF,745.0,745.0,15988.2752,最低碳排放端点_联合协调,2
29952,RegionD,RegionD,2037.0,2043.0,15951.546777600057,最低碳排放端点_联合协调,2
22176,RegionD,RegionF,329.0,324.0,15903.785779200163,最低碳排放端点_联合协调,2
35347,RegionD,RegionF,1105.0,1105.0,15896.61696,最低碳排放端点_联合协调,2
28239,RegionD,RegionD,1532.0,1518.0,15894.661120000364,最低碳排放端点_联合协调,2
38890,RegionD,RegionF,720.0,720.0,15878.44109653344,最低碳排放端点_联合协调,2
18085,RegionD,RegionD,692.0,683.0,15873.514905599755,最低碳排放端点_联合协调,2
29981,RegionE,RegionF,137.0,135.0,15867.757499999943,最低碳排放端点_联合协调,2
9026,RegionD,RegionB,1913.0,1911.0,15843.275571199389,最低碳排放端点_联合协调,2
34326,RegionD,RegionB,737.0,737.0,15831.029759999794,最低碳排放端点_联合协调,2
47964,RegionD,RegionD,2279.0,2284.0,15788.408832,最低碳排放端点_联合协调,2
12111,RegionD,RegionD,2085.0,2071.0,15775.427925332724,最低碳排放端点_联合协调,2
38822,RegionE,RegionF,1487.0,1496.0,15767.014533333284,最低碳排放端点_联合协调,2
17542,RegionF,RegionD,2353.0,2353.0,15764.938752,最低碳排放端点_联合协调,2
18231,RegionF,RegionD,1822.0,1823.0,15755.271444266542,最低碳排放端点_联合协调,2
38355,RegionD,RegionD,593.0,586.0,15750.64780799993,最低碳排放端点_联合协调,2
24077,RegionD,RegionE,404.0,394.0,15744.49152,最低碳排放端点_联合协调,2
33439,RegionD,RegionF,2081.0,2076.0,15645.05371811759,最低碳排放端点_联合协调,2
30133,RegionD,RegionF,1270.0,1270.0,15637.467136,最低碳排放端点_联合协调,2
36945,RegionD,RegionD,1919.0,1924.0,15636.57338880033,最低碳排放端点_联合协调,2
